"Date","Review"
"February 27, 2016","It's ok"
"September 12, 2015","I don't know how someone couldn't like this."
"June 13, 2015","Love Spotify so much better than pandora. So much easier to use"
"January 7, 2015","Use the app everyday, I love the fact could pick any song. Just wish it had a sleeping timer."
"October 9, 2015","Works very well I listen constantly!!!"
"March 1, 2015","easy use love it ,easy to search and save music, we have it on the share family plan"
"December 25, 2015","Great app. Works well"
"January 21, 2016","Loving this app"
"May 9, 2015","I love it I helps me when I am at home and when I have to listen music"
"November 21, 2014","its a awesome app you can listen to anything you want but ive been having a problem with premium trial"
"September 25, 2014","This is a very good app. I can look up just about any song I want. You gotta try it!! You won't have any regrets."
"October 4, 2015","Best music app out there and its free!!"
"January 26, 2015","Only way to make this better would be to get ride of the adds, but I can deal with those."
"December 2, 2015","Awesome app I use it daily"
"November 28, 2015","Asdfghjkl added wssdkkmllkp"
"September 19, 2014","Excellent , better than Pandora in my opinion because you can choose your own songs and also listens to the radio."
"October 3, 2015","Works seamlessly on my new Kindle fire."
"February 7, 2016","No problems"
"February 7, 2016","Its amazing"
"December 15, 2015","love thia app so much!!"
"December 11, 2015","Keeps me company all day"
"February 16, 2016","I love it"
"February 16, 2016","Very good"
"July 30, 2015","Great Music app!!!!! I would definitely recommend it."
"October 12, 2015","I wish we Bing have to deal with adds"
"January 5, 2015","Like this app a lot. Good music selection and allows me to search for specific songs as well."
"September 5, 2015","I prefer this over Pandora...No annoying ads."
"August 13, 2014","This app had all the music and barely any commercials. It made an awesome playlist and stored a lot of songs on each one."
"December 30, 2014","It's ok but not all songs are on here. But it's better that Pandora it is very much used by me"
"December 17, 2014","Awesome!"
"January 10, 2016","Good ap for music"
"September 17, 2014","This app very much satisfies me"
"March 18, 2016","Ok"
"December 13, 2015","So amazing that all the music is free"
"April 2, 2015","It allows me to listen to music hard to find and I don't have to purchase it."
"February 6, 2016","Love it!!!!"
"January 5, 2016","God daaaaaammmnnnn"
"August 6, 2014","Love using this app. Have been finding all the songs and musicians that I have looked for. Would recommend it to others."
"November 18, 2014","Beats Pandora hands down. I love unlimited skip feature with premium and the sheer selection of music."
"September 25, 2015","It can be a little difficult picking out the music."
"March 14, 2016","Really good"
"January 27, 2016","Just love it!"
"March 2, 2015","Love how Spotify doesn't advertise and leaves you alone to listen to your music. :)"
"September 17, 2015","Really good app. I like the music choices."
"September 26, 2015","Awesome. Plays great music, easy to use."
"December 31, 2015","Great app for music"
"January 27, 2015","My oldest son introduced me to this app as a way of exploring new music and I absolutely love it!"
"December 13, 2015","Love it, soo many songs"
"November 17, 2014","Fun for the whole family. We all have our own play list so it's super easy to listen to what u want 😀"
"January 31, 2016","good choice."
"January 31, 2016","Needs no ads"
"June 13, 2015","Loved it! I'm new to using Apps. Having fun hearing new music."
"March 11, 2015","Ok so how do u get the premium version. I mean really? It's a great app but confu"
"January 13, 2016","Thus far I like."
"July 30, 2014","What I love about Spotify is that you can listen to your choice of artist as well as the albums you choose, unlike Pandora."
"November 16, 2014","Dis app is awesome must say better than soundcloud the speakers awesome you can download a whole abulm"
"August 15, 2015","The best. Go premium and its all you'll ever need"
"February 4, 2016","LOVE ITTT!!"
"July 14, 2014","I give Spotify five stars.I love music of all kind.I have it on my Kindle,my phone and computer.I highly recommend it to all."
"September 25, 2015","Definitely the best music app available."
"September 11, 2015","The app is awesome. The app has great music"
"October 22, 2015","An app from other dimension jajaja"
"January 7, 2016","Adds are annoying"
"January 7, 2016","Yeah it is great."
"October 13, 2015","Much better than music tube. Thanks!"
"August 3, 2014","great app for anything to listen to if your sad or happy or what to listen to our favourite artist this is the app.for.you"
"January 11, 2015","It is good because I love it. If your wondering why give it a four then I can't upgrade it."
"December 11, 2014","This app functions very well on Fire OS, same great performance, which it has on iOS and Android."
"February 3, 2016","Awesome app"
"January 21, 2016","Love this app!"
"October 8, 2015","In my opinion,,,, you can't go wrong!"
"February 16, 2016","Enjoying"
"February 7, 2016","Very good."
"August 27, 2015","DEFINITELY my FAVORITE way to listen to music!"
"January 24, 2016","Awesome app!!"
"January 24, 2016","Awesome stuff"
"February 2, 2016","Should try."
"January 24, 2015","Better than Pandora because you don't have to constantly train it to play what you like."
"July 20, 2015","Not user friendly at least for me compared to Pandora."
"January 28, 2016","Awesome very"
"November 26, 2015","Best and easiest music app"
"October 14, 2014","This music app is so good! It surpasses all other music downloading apps on the Amazon App store! I love it!"
"October 8, 2014","This is the most awsome app ever it playes ever single music u trie to find and u get to here it offline to"
"August 30, 2015","One of the best free apps to find new artist."
"September 13, 2015","This is the best music streaming app ever."
"October 6, 2015","Love it You should really try it"
"February 20, 2015","Allows me to listen to all songs I'm looking for while I play apps or browse the web"
"January 23, 2016","Love Spotify."
"December 8, 2014","Great app get it now I dont care who you are get it WHY ARE YOU WASTING TIME READING THIS, GET IT"
"December 4, 2015","Too new to evalute fully"
"October 1, 2015","Love this app. Have on all my devices."
"November 20, 2015","Dislike the shuffle feature"
"January 9, 2016","Awesome get this"
"March 27, 2015","Plays the type of music I like and doesn't play the same song again and again"
"November 29, 2015","AMAZING absoultly amazing"
"March 6, 2015","I have found no issues. Love just thinking about a song and looking it up. 😀😀😀"
"January 31, 2016","Crazy good!"
"February 23, 2016","Great!"
"August 2, 2014","This App. Works really good on my Kindle."
"February 18, 2016","Love it"
"February 9, 2016","Excellent"
"October 28, 2015","Gots most of the music you like."
"July 13, 2015","Recently upgraded to Premium. Absolutely LOVE Spotify!"
"January 30, 2016","This is a very good music app"
"May 29, 2015","Works great, radio repeats a lot but great selection and quality"
"September 25, 2015","Really good like the selection of music"
"February 4, 2016","Love this!"
"March 15, 2015","Blackberry community love Spotify. We really wish to have a native spotify app!"
"August 28, 2015","This is the best app ever this music paradise"
"September 30, 2014","I love this app because I can hear the music I want and all of my favorite songs and artists it's the best app"
"January 21, 2016","It's the best"
"August 28, 2015","Not a fan. The free download is frustrating!"
"September 15, 2015","I love this app has great music😍😍😍😍😍"
"December 29, 2015","Super easy to use."
"September 10, 2015","love it, greatest music app on the market."
"January 11, 2016","Perfection!!!!!"
"February 22, 2015","Liked it at first but it was way to complicated to get the music on my Kindle Fire."
"January 11, 2016","Spotify is my go-to streaming app because not only does it allow me to listen to all of my favorites, but it also allows me to personally experience music in a much richer way. I can find music by mood or era, and discover gems I would have never come across by just a simple search. The feature of following other members' extensive playlists is a great way to reconnect with music that has been forgotten over the years. Spotify isn't just a steaming app. It's an experience for a musical connection that I haven't found anywhere else."
"September 29, 2014","I love spotify, it's like a dream. I just get to listen to the artists I WANT. And other playlists.. beautiful"
"November 22, 2015","Love love love it soo much"
"September 13, 2014","Spotify Music is a great app very impressed! It's a must have for the kindle fire. Works great even on the go. :)"
"February 25, 2016","Mmmmm"
"October 9, 2014","Lots of great music choices and easy to use! So happy to be able to have a fun source of music on my tablet!"
"December 30, 2014","it was ok how you can search music but how you cant play the music you want with out premium"
"July 1, 2015","Drops out a lot on my phone, Verizon data, 4G/LTE, 4 bars"
"November 29, 2014","Love this app! I'm a fitness instructor and use it daily to construct lists of music for workouts."
"October 20, 2015","The best music service out there."
"January 10, 2016","Great for music"
"February 24, 2016","GREAT"
"January 14, 2016","Waikiki cgtrfg"
"August 16, 2015","Omg i love this app free music is always good ☺"
"August 16, 2015","It is very easy to use. Also every sons is free"
"March 17, 2017","Allows for great choice in music and is am advanced version of music by far 👍👌"
"October 18, 2014","This is great u can hear any music you want and have radios and playlist its aasome you have to get it!!!!"
"February 20, 2015","Really enjoying it! Love to search for old songs and the top lists are great also!"
"December 27, 2015","This streams great"
"January 21, 2015","That's pretty much it, I use it everyday. At work, in the car, at home. It's great for stand up comedy."
"October 24, 2015","All the tunes you can ever want!"
"September 22, 2015","But the mobile you can't pick your song"
"January 14, 2016","Cool and fun.."
"January 8, 2015","You can't go wrong with an app that plays all your favorites all the time. Love this app!"
"April 16, 2015","Love this service and the app. Great streaming even on lower bandwidths."
"September 12, 2015","Love it....totally worth the paid version"
"January 31, 2016","Like yasss"
"January 9, 2016","Wow wow wow wow"
"January 13, 2016","I love Spotify"
"February 19, 2015","I think it could be better but it's fine has part of my songs I love and it's a goo"
"February 27, 2016","Cool"
"February 5, 2016","Excellent"
"April 5, 2015","The Best! A truly magnificent app that brings much joy to this audiophile."
"December 21, 2015","Music of all kind."
"February 4, 2016","Best Ever"
"October 1, 2014","I voted this GIANT musical app a miracle or a musical sensation it's a flawless app and I suggest YOU get it!"
"December 27, 2014","Great app easy to use. Large selection of old and new music.....and I love the 99 cent promo"
"September 10, 2014","You are able to listen to albums and not have to pay for them. With very few commercials. Great search features"
"February 4, 2016","Love it !"
"January 30, 2016","Great app"
"November 14, 2015","So many songs and artists!!"
"February 8, 2016","works ok"
"November 23, 2015","Absolutely love it! Yay!☺"
"October 26, 2015","spotify is love spotify is life"
"September 10, 2015","It is really good.  I love it😜"
"December 31, 2014","They don't have all the music and more than I would think, not some songs I'd like to have."
"September 10, 2015","Its good I like it but I hate ads so much"
"January 25, 2016","Great!!!!!!"
"January 10, 2015","I have been using this one year, switch two phones, same good quality, big music library."
"February 16, 2016","Great!"
"July 11, 2015","Love this program can even bluetooth to my Bose system"
"January 24, 2016","Perfecto!!!"
"December 28, 2015","Fracking amazing."
"September 18, 2015","Great service, huge selection of music."
"October 24, 2014","Only in my 7 day free trial period. .so far everything is great and am able to find lots of good music.."
"November 8, 2015","if you don't mind commerials"
"November 3, 2015","I'm love this app so much🙌😳"
"September 9, 2015","I just wish they had Taylor Swift too !!!"
"November 3, 2015","I get sleep music that works!"
"September 12, 2014","I love specify..would have given it a 5 if I could also pick by genre. Maybe you can and I haven't seen it yet."
"December 29, 2014","It'll uses to stop but i updated it now im in heaven so ty spotify fo makeing my day K"
"August 12, 2015","Not as good as the computer web player version."
"October 23, 2014","&#60;3 I love spotify because my playlists can be as random as I like and they have poetry too."
"November 7, 2015","Free music at my fingertips."
"November 28, 2014","This song has every song that I wanted. Everyday I wake up and get on my kindle and play this app"
"September 22, 2015","Love it free albums thank you spotify!"
"October 6, 2015","Nice to hear what you WANT to hear."
"December 27, 2015","Ni  ce,"
"October 15, 2015","Great for all my old school stuff"
"February 19, 2016","Good."
"December 4, 2015","I love my spotify app."
"July 31, 2014","Thanks to Spotify it has almost every music artist on there I never had a problem looking up a music artist I didn't see"
"December 31, 2015","This is good app"
"December 13, 2015","This app is amazing!"
"July 28, 2015","I LOVE TO FIND MY FAVORITE ARTISTS AND THEIR TUNES"
"January 14, 2016","Great product"
"January 27, 2016","Works well"
"December 8, 2014","Spotify is awesome. I use it everyday on my kindle fire at work since I don't have a cellphone."
"December 17, 2015","I love the variety."
"January 2, 2015","I really love this app it's easy.....search any song listen to it and download for free 😁"
"September 26, 2015","Great free music with lots of genres."
"January 27, 2016","I love it!"
"September 21, 2014","this is probably the best choice if you are looking for a app that is for searching and browsing music online."
"May 15, 2015","Just Amazing, the premium account totally worth the 9.99 a month!"
"October 19, 2015","Perfect app works on all devices"
"October 1, 2014","Absolutely love this app! Thrilled to not have to listen to music ""recommended"". Highly recommended!"
"September 7, 2015","First time trying Spotify - I am amazed!!"
"October 19, 2015","I love Christian song and gospel"
"October 28, 2015","Best music software available."
"December 30, 2015","Just plain good."
"February 9, 2016","Love it"
"August 5, 2015","Love this apps. Very good for music lovers."
"February 1, 2015","I am an 80s chick and I can listen to the music me and my best friends did back then"
"November 28, 2015","The best music app ever"
"October 26, 2014","I enjoy listening to all my favorite singers. This is such an easy app to use. Had no problems! Thanks!"
"September 11, 2015","So great love that I can listen offline."
"July 22, 2015","I love it. I'm tempted to actually get the premium"
"April 14, 2015","This app is awesome I can get all the music I love for the price I love"
"August 23, 2015","I love spotify! all the music that you love!"
"March 2, 2016",".-"
"June 28, 2015","I love this app and all, but I can't upgrade to premium!"
"August 30, 2014","I like Pandora more but I will give this app a close second. A very intuitive app for music lovers of every genre."
"November 14, 2015","I love the Christian music"
"August 18, 2015","It was great no complaints this app was great"
"December 11, 2015","Spotify is the best!"
"January 3, 2016","Tilt and lit af"
"October 26, 2015","This is the best app for music"
"August 23, 2014","wont install on my kindle other than that its good but I'm sad now that it doesn't work hopefully they can fix that"
"October 26, 2015","I love it so much!!!!! Awesome"
"April 3, 2015","I like it but I'd like it more if it had more artists albums and mixtapes"
"May 27, 2015","Free music!!! For once! 30 minute stretches of add free music."
"December 3, 2014","I am loving my own playlists, and very few ads for a free app. Easy to use, I recommend giving sporting a try!"
"January 20, 2016","lots of fun"
"March 9, 2015","Spotify has HD music and I can find all my favorite songs and even audio books"
"October 16, 2015","It's great for...well everything"
"April 22, 2015","Very happy with the choices and selections. Highly recommend Spotify"
"August 12, 2015","I really love this app that is what I needed😎"
"November 18, 2014","I can listen to all my music old and new I love it If really really do its perfect it's great"
"March 28, 2015","It is easy to use and delivers everything I wanted. I recommend it highly."
